Date,Relevé mensuel,Conso/mois,Jours,Conso/jour
12/01/19,618.478,,,
01/01/20,638.464,19.986,31,0.645
01/17/20,649.69,11.226,16,0.702
02/08/20,668.059,18.369,22,0.835
02/13/20,671.491,3.432,5,0.686
04/01/20,714.525,43.034,48,0.897
04/30/20,738.242,23.717,29,0.818
06/01/20,756.514,18.272,32,0.571
06/16/20,765.149,8.635,15,0.576
06/30/20,774.327,9.178,14,0.656
08/01/20,790.084,15.757,32,0.492
09/01/20,808.82,18.736,31,0.604
10/01/20,826.302,17.482,30,0.583
11/01/20,842.57,16.268,31,0.525
12/01/20,857.177,14.607,30,0.487
01/01/21,870.814,13.637,31,0.440
02/01/21,885.961,15.147,31,0.489
03/01/21,902.091,16.130,28,0.576
04/01/21,918.938,16.847,31,0.543
06/01/21,956.148,37.210,61,0.610
07/01/21,974.81,18.662,30,0.622
08/01/21,993.05,18.240,31,0.588
09/01/21,1009.408,16.358,31,0.528
